match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_outfielderBlock,stat_aerialLost,stat_totalContest,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_wonContest,stat_penaltyConceded,stat_totalOffside,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_expectedGoalsOnTarget,stat_goals,player_firstName,player_lastName,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_punches,stat_penaltyWon
12499652,away,Holstein Kiel,Shuto Machino,shuto-machino,S. Machino,F,18,185,1746,M,925910,EUR,938649600,F,18,18,False,,9.0,5.0,,,0.0,2.0,4.0,5.0,,,,,45.0,14.0,6.5,7.0,0.0013025,1,,,3.0,,,1.0,5.0,2.0,,2.0,,,,,,,1.0,0.0488,,2.0,,1.0,1.0,,,,,,1.0,,0.0139,,,,,,,
12499652,away,Holstein Kiel,Benedikt Pichler,benedikt-pichler,B. Pichler,F,11,187,206,M,843709,EUR,869356800,F,9,9,True,,11.0,9.0,,,0.0,5.0,5.0,6.0,3.0,,,,45.0,20.0,6.5,5.0,0.00477193,2,,,4.0,,,1.0,3.0,2.0,,,,1.0,1.0,,,,,0.2992,1.0,2.0,2.0,1.0,,,1.0,,,,1.0,,0.3387,,,,1.0,,,
12499652,away,Holstein Kiel,Fiete Arp,jann-fiete-arp,F. Arp,F,7,186,976,M,877837,EUR,947116800,F,20,20,True,,4.0,1.0,,,0.0,,,5.0,,,,,45.0,13.0,6.7,7.0,0.22083,1,,,2.0,1.0,1.0,,8.0,1.0,1.0,2.0,,,,,1.0,,,0.7884,,2.0,1.0,1.0,2.0,1.0,,,1.0,,1.0,,0.6665,1.0,,,,,,
12499652,away,Holstein Kiel,Marvin Schulz,marvin-schulz,M. Schulz,M,10,186,43,M,254445,EUR,790128000,M,15,15,True,,5.0,3.0,2.0,,0.0,1.0,2.0,3.0,1.0,,,,19.0,7.0,6.6,2.0,0.00069304,0,,,2.0,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12499652,away,Holstein Kiel,Marco Komenda,marco-komenda,M. Komenda,D,3,187,42,M,579260,EUR,848966400,D,3,3,True,,1.0,,1.0,,0.0,,,1.0,,,,,12.0,3.0,6.6,1.0,,0,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12499652,away,Holstein Kiel,Nicolai Remberg,nicolai-remberg,N. Remberg,M,21,187,305,M,1064305,EUR,961372800,M,22,22,True,,3.0,1.0,,,0.0,,,3.0,1.0,,,,12.0,4.0,6.4,3.0,0.00204568,0,,,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
12499652,away,Holstein Kiel,Thomas Dähne,thomas-dahne,T. Dähne,G,21,193,74,M,126346,EUR,757641600,G,21,21,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499652,away,Holstein Kiel,Tymoteusz Puchacz,tymoteusz-puchacz,T. Puchacz,M,27,180,3583,M,867493,EUR,917049600,D,27,27,True,,,,,,,,,,,,,,,,,,,0,,puszka.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499652,away,Holstein Kiel,Lasse Rosenboom,lasse-rosenboom,L. Rosenboom,M,23,190,90,M,980616,EUR,1011398400,D,23,23,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499652,away,Holstein Kiel,Alexander Bernhardsson,alexander-bernhardsson,A. Bernhardsson,F,11,184,445,M,980916,EUR,905126400,F,11,11,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
